entryid,customerid
144.0,30026
144.0,30039
144.0,29962
144.0,29999
144.0,30098
144.0,30105
144.0,30041
144.0,30095
144.0,30113
144.0,30108
144.0,30110
5.0,30158
144.0,30136
2.0,30158
144.0,30137
144.0,30160
144.0,30158
144.0,30169
144.0,30176
144.0,30196
144.0,30162
144.0,30238
144.0,30277
144.0,30201
104.0,32449
104.0,31106
144.0,30278
5.0,30857
144.0,36397
104.0,36454
5.0,32755
5.0,33542
1.0,32535
5.0,32796
104.0,34353
1.0,40025
104.0,36400
144.0,36459
5.0,36333
144.0,36349
104.0,37835
104.0,38614
104.0,36990
5.0,37324
5.0,35177
1.0,62806
104.0,37024
5.0,37238
104.0,67566
5.0,67855
5.0,63316
104.0,64243
104.0,70275
5.0,70307
144.0,68310
144.0,29910
5.0,70563
1.0,60229
144.0,71456
144.0,71537
5.0,71821
104.0,72018
104.0,72355
144.0,72462
144.0,27193
1.0,72518
144.0,64269
144.0,64565
5.0,64591
144.0,66093
144.0,66721
144.0,66960
104.0,67059
5.0,68496
144.0,69217
1.0,71682
5.0,72537
5.0,72558
1.0,71960
5.0,72482
104.0,64568
1.0,65449
5.0,67060
5.0,72559
144.0,63744
104.0,67156
5.0,67395
5.0,67856
5.0,67117
1.0,69562
144.0,69596
5.0,68717
5.0,71711
144.0,65285
5.0,70357
5.0,70382
5.0,69384
5.0,70381
5.0,69222
5.0,71389
224.0,69222
5.0,71556
5.0,72217
144.0,72421
5.0,62661
5.0,63413
5.0,63481
5.0,63682
144.0,63745
5.0,66471
104.0,67448
5.0,67832
104.0,69815
104.0,69763
5.0,70306
144.0,70436
1.0,69801
144.0,71715
5.0,71776
144.0,71820
144.0,71178
5.0,62983
144.0,63081
144.0,63125
5.0,62736
5.0,64605
2.0,67705
5.0,64606
5.0,67857
144.0,63487
104.0,67705
144.0,69095
5.0,68069
5.0,68332
5.0,68603
1.0,70752
144.0,71078
104.0,71536
144.0,71861
5.0,72057
5.0,67240
104.0,67380
104.0,63830
144.0,65109
144.0,29895
5.0,72396
104.0,69635
144.0,72498
5.0,69871
144.0,66455
144.0,62677
5.0,69978
104.0,68874
5.0,69526
5.0,69697
5.0,70379
104.0,70063
5.0,70565
104.0,70199
5.0,70360
144.0,71131
5.0,71555
5.0,70835
144.0,70915
104.0,64588
144.0,67717
5.0,71465
5.0,63998
144.0,72739
5.0,68236
5.0,68458
144.0,30116
144.0,72830
144.0,72982
104.0,73424
104.0,63037
144.0,30106
5.0,63085
104.0,60078
104.0,63322
144.0,64160
144.0,65492
144.0,65728
1.0,66342
104.0,71025
1.0,70138
5.0,70865
1.0,71216
144.0,73505
5.0,64179
144.0,64700
2.0,72758
5.0,67835
5.0,70043
144.0,72758
144.0,75544
144.0,73038
104.0,76277
144.0,73195
1.0,74711
144.0,66356
5.0,68263
104.0,76379
104.0,64033
104.0,69558
5.0,62916
104.0,69523
104.0,69524
1.0,65555
5.0,66302
104.0,64925
1.0,65488
5.0,67836
1.0,68995
104.0,66353
5.0,67613
144.0,71135
5.0,71118
104.0,69583
5.0,70364
104.0,71516
5.0,71704
104.0,71238
144.0,71440
144.0,71863
1.0,62357
5.0,71855
104.0,68019
5.0,71875
1.0,72703
144.0,27611
144.0,73237
104.0,72581
144.0,63123
5.0,70303
5.0,72240
1.0,73340
144.0,72980
144.0,63743
144.0,64512
5.0,72953
104.0,65075
104.0,65076
104.0,65087
144.0,65260
5.0,68925
1.0,70037
144.0,67033
144.0,70568
144.0,71380
5.0,70301
5.0,70339
144.0,73015
5.0,74321
104.0,71659
104.0,72100
104.0,64061
5.0,67361
5.0,72238
1.0,68660
104.0,71353
5.0,72695
144.0,71353
2.0,71353
5.0,65494
144.0,67641
5.0,72696
144.0,65349
5.0,67837
144.0,67695
1.0,67699
104.0,72436
5.0,68068
1.0,68796
1.0,69557
1.0,65159
144.0,72479
104.0,72516
104.0,73999
144.0,30086
144.0,30174
144.0,63044
5.0,63518
144.0,64237
144.0,29840
104.0,65950
144.0,65950
5.0,68021
144.0,65748
5.0,68576
144.0,28101
5.0,71975
104.0,72001
144.0,72954
104.0,73201
144.0,72697
5.0,70300
5.0,70340
5.0,73755
144.0,65905
5.0,65535
104.0,65616
5.0,70341
104.0,71663
1.0,70881
144.0,67696
5.0,69874
5.0,73564
1.0,75157
5.0,72239
144.0,72837
5.0,73420
144.0,67180
5.0,68795
144.0,75163
104.0,75035
144.0,70196
1.0,71215
144.0,71455
1.0,72335
144.0,72515
5.0,64367
5.0,66377
5.0,66378
104.0,72759
1.0,71183
5.0,72476
104.0,72764
104.0,71079
144.0,72784
104.0,73199
1.0,73410
144.0,75837
144.0,75995
104.0,75696
1.0,76088
5.0,63737
104.0,65039
144.0,65727
5.0,67818
5.0,68516
5.0,71679
144.0,71956
104.0,64003
5.0,70040
5.0,64989
5.0,66688
104.0,67545
104.0,64587
104.0,67929
104.0,68080
5.0,67932
5.0,68076
104.0,69810
5.0,69983
104.0,69955
104.0,69604
5.0,71184
1.0,70041
5.0,70164
104.0,65252
1.0,63384
144.0,63384
104.0,63483
144.0,66548
144.0,65412
5.0,67540
1.0,65505
104.0,66399
104.0,68604
1.0,69660
5.0,67795
5.0,68333
5.0,70351
144.0,59730
5.0,69715
5.0,69995
5.0,64065
5.0,66414
144.0,63317
144.0,63836
5.0,67426
5.0,68195
104.0,67315
5.0,69975
1.0,67484
144.0,70127
5.0,70157
5.0,70162
5.0,69976
5.0,70215
5.0,70197
144.0,65667
1.0,70495
104.0,63835
144.0,64865
1.0,66958
5.0,67447
5.0,67487
5.0,69335
5.0,67815
5.0,67817
5.0,69219
5.0,69220
144.0,69532
144.0,69796
144.0,70884
144.0,71562
104.0,64037
1.0,64347
5.0,67318
104.0,68120
5.0,68568
5.0,67275
5.0,69977
5.0,70375
5.0,70302
104.0,68705
5.0,70356
5.0,70358
5.0,70359
5.0,70376
5.0,70346
5.0,64671
5.0,70305
5.0,64699
5.0,69642
5.0,70304
5.0,71557
5.0,70362
5.0,70377
5.0,70350
144.0,75740
5.0,71739
5.0,77681
104.0,71742
144.0,71880
144.0,73283
104.0,73580
144.0,30276
144.0,78495
104.0,76920
144.0,74056
144.0,75642
1.0,78215
144.0,77876
144.0,78877
104.0,77916
1.0,78127
5.0,73684
144.0,73878
144.0,72983
1.0,73421
104.0,77919
5.0,74175
5.0,74457
144.0,75638
104.0,77239
1.0,77325
144.0,74884
1.0,75215
104.0,73036
104.0,74118
1.0,77638
5.0,77880
104.0,76435
1.0,74837
1.0,75398
144.0,29906
1.0,76895
1.0,77837
104.0,78059
104.0,75619
1.0,78360
144.0,73096
5.0,78784
5.0,74775
104.0,73219
1.0,73997
104.0,73059
104.0,73099
144.0,75559
5.0,76416
144.0,75055
144.0,75162
144.0,78195
144.0,79795
5.0,77036
144.0,77915
104.0,75515
104.0,75403
1.0,21309
144.0,74755
144.0,77136
5.0,77216
144.0,76336
144.0,76595
1.0,75755
144.0,77404
104.0,77655
1.0,75195
104.0,78258
104.0,79376
144.0,77820
104.0,78241
144.0,78837
144.0,79516
1.0,75795
1.0,77676
144.0,75545
144.0,75817
144.0,79816
144.0,74697
104.0,76995
104.0,77401
144.0,76875
1.0,76897
104.0,76195
5.0,76275
144.0,29961
1.0,76155
5.0,77295
5.0,78085
144.0,76395
104.0,77040
144.0,79099
1.0,74862
5.0,78517
144.0,78856
104.0,77575
1.0,79598
104.0,77320
104.0,77436
5.0,84356
144.0,86137
144.0,79780
144.0,82417
144.0,88517
144.0,89196
144.0,27195
104.0,88416
144.0,90477
144.0,89617
144.0,90077
5.0,93200
144.0,93578
144.0,90496
144.0,92196
144.0,27337
144.0,100956
144.0,78476
144.0,94917
144.0,99357
1.0,79317
144.0,84936
144.0,78884
104.0,79097
144.0,89396
224.0,89396
144.0,86336
144.0,91397
144.0,87696
144.0,94357
144.0,94717
5.0,94778
144.0,92097
144.0,96578
1.0,97296
144.0,97617
144.0,95258
144.0,102300
1.0,79275
5.0,79355
144.0,99957
144.0,81818
144.0,81919
144.0,82418
144.0,30033
144.0,84996
144.0,85797
144.0,87596
144.0,84336
144.0,92517
1.0,91218
144.0,93396
144.0,89116
144.0,98219
144.0,99437
144.0,99699
104.0,94017
144.0,101236
1.0,102536
144.0,102737
144.0,100216
144.0,80498
5.0,80756
104.0,81819
5.0,103117
144.0,84976
104.0,85037
144.0,85656
144.0,83241
144.0,92556
104.0,94476
144.0,19573
144.0,88796
144.0,102216
144.0,102916
144.0,103098
5.0,96056
144.0,103219
144.0,103297
144.0,80499
144.0,103239
104.0,80499
144.0,80518
1.0,84857
5.0,80556
144.0,80816
144.0,82398
144.0,87018
144.0,85456
144.0,85916
1.0,86856
144.0,92456
104.0,89656
144.0,92078
144.0,92317
5.0,97197
144.0,94319
5.0,94740
144.0,95218
144.0,30066
144.0,97416
144.0,100156
144.0,79116
104.0,81676
144.0,79783
144.0,79763
144.0,80516
104.0,84656
144.0,82276
144.0,82456
144.0,82400
144.0,86820
144.0,84917
144.0,85097
144.0,86096
144.0,92060
144.0,87396
144.0,90460
104.0,90878
144.0,93417
144.0,92197
144.0,92418
144.0,92796
144.0,82277
104.0,98317
104.0,99016
144.0,81279
104.0,27302
5.0,83777
144.0,87796
1.0,87959
144.0,93896
104.0,89597
144.0,90676
5.0,92516
1.0,101676
144.0,94737
144.0,101256
104.0,101081
144.0,82399
1.0,78681
144.0,80357
144.0,82217
144.0,86079
5.0,82958
5.0,83796
144.0,84738
1.0,93656
1.0,86821
104.0,27948
104.0,27130
104.0,27229
144.0,93877
144.0,95256
144.0,96916
144.0,99581
1.0,85996
144.0,86081
144.0,88336
144.0,161174
144.0,92157
5.0,103856
5.0,110098
5.0,163182
144.0,84796
5.0,108076
144.0,117377
5.0,166882
1.0,163954
144.0,167068
144.0,165293
5.0,166614
144.0,168734
144.0,168834
104.0,168072
5.0,168172
144.0,170092
144.0,170460
1.0,168966
144.0,170558
144.0,170078
144.0,81557
144.0,84777
144.0,87156
1.0,171263
1.0,88958
104.0,90317
144.0,91160
144.0,87916
5.0,93218
144.0,94376
1.0,95796
144.0,92419
144.0,98356
104.0,102177
144.0,103317
144.0,112037
144.0,114678
5.0,161692
144.0,64575
104.0,113036
144.0,167541
144.0,168085
5.0,168169
5.0,166896
144.0,169141
5.0,169240
144.0,169826
104.0,168616
144.0,169911
5.0,170038
144.0,170705
1.0,171038
5.0,171026
144.0,171754
144.0,80497
1.0,171399
1.0,171431
144.0,172277
144.0,108118
144.0,84896
144.0,88498
144.0,105299
5.0,166046
144.0,161864
144.0,163872
144.0,165653
5.0,160863
144.0,166561
5.0,167076
104.0,167225
144.0,167092
144.0,163024
5.0,165430
144.0,166501
144.0,168864
144.0,167328
144.0,169034
144.0,167537
144.0,168765
1.0,171345
5.0,171751
144.0,170505
5.0,171101
104.0,80255
104.0,97496
2.0,97496
1.0,171350
144.0,30236
104.0,105757
5.0,160853
5.0,160860
144.0,99176
144.0,165413
144.0,165654
144.0,166040
5.0,166302
144.0,166269
144.0,166508
144.0,169416
104.0,125743
144.0,168509
5.0,169302
144.0,85516
144.0,169734
104.0,169851
144.0,79517
144.0,94176
144.0,85659
144.0,90880
5.0,93217
104.0,119756
144.0,94756
144.0,161333
144.0,100317
144.0,109878
144.0,166890
5.0,166876
144.0,162041
144.0,165907
5.0,167550
144.0,168277
5.0,167056
144.0,167538
5.0,168608
5.0,168638
144.0,168333
144.0,168762
5.0,168514
5.0,169045
5.0,169116
144.0,169318
144.0,169036
5.0,170036
144.0,170565
5.0,170995
144.0,172137
5.0,169571
104.0,102936
144.0,105320
144.0,107920
144.0,113076
104.0,118884
144.0,165664
144.0,86736
144.0,166171
5.0,166628
5.0,167198
5.0,167710
144.0,168332
1.0,168452
144.0,168652
5.0,168516
144.0,168542
5.0,168607
144.0,169314
144.0,168836
5.0,168997
5.0,169163
1.0,170068
144.0,169315
144.0,170174
144.0,169412
5.0,170040
5.0,171027
144.0,80496
5.0,170408
144.0,170866
144.0,90076
1.0,90816
144.0,83716
144.0,13101
144.0,86136
5.0,109857
144.0,116657
144.0,163828
5.0,98500
1.0,164196
5.0,167082
144.0,167067
144.0,163866
5.0,167204
144.0,167327
5.0,168378
5.0,168605
144.0,168763
144.0,169019
144.0,169041
144.0,169027
104.0,169376
5.0,169489
5.0,170230
144.0,63197
144.0,99637
144.0,101237
144.0,115977
5.0,160864
144.0,163128
144.0,163480
144.0,27070
144.0,164478
144.0,164843
5.0,165793
5.0,167233
144.0,166265
144.0,166502
5.0,166867
144.0,168336
5.0,167234
5.0,167247
144.0,167539
5.0,170198
5.0,169347
5.0,170234
144.0,169322
144.0,169764
144.0,170468
5.0,170981
144.0,170309
144.0,170453
144.0,164342
1.0,165238
1.0,107837
2.0,165238
144.0,161678
144.0,165348
5.0,166303
5.0,167549
144.0,168591
144.0,168716
5.0,168758
5.0,169298
164.0,169298
1.0,168759
144.0,168868
5.0,169162
5.0,169784
144.0,169992
5.0,169301
5.0,169490
5.0,170150
144.0,170084
5.0,170232
144.0,170091
144.0,170927
144.0,171318
5.0,171663
144.0,170451
144.0,82457
104.0,94396
144.0,163829
144.0,30275
144.0,68023
144.0,166044
144.0,166079
5.0,164137
144.0,166262
5.0,166739
5.0,167209
144.0,166167
144.0,167469
5.0,168171
124.0,167469
144.0,168132
144.0,167392
144.0,168211
5.0,169479
5.0,168517
5.0,168601
5.0,169487
144.0,119816
5.0,171100
104.0,172086
144.0,103336
104.0,168068
144.0,168466
144.0,162039
5.0,164211
144.0,167296
5.0,169123
144.0,169321
144.0,168732
144.0,168903
5.0,170423
5.0,170987
144.0,169739
144.0,171112
5.0,170207
144.0,94358
104.0,94358
1.0,96397
144.0,136521
144.0,164381
5.0,165522
144.0,166406
1.0,166565
144.0,167070
104.0,167226
144.0,168691
5.0,167614
5.0,167709
5.0,168165
144.0,171110
144.0,168838
5.0,169160
144.0,170216
144.0,82236
104.0,86076
144.0,101916
104.0,113976
144.0,164916
144.0,114296
144.0,164143
5.0,164624
5.0,167207
144.0,165331
144.0,166540
5.0,166885
144.0,169316
144.0,168083
5.0,169495
144.0,168539
144.0,169030
144.0,170080
5.0,170200
144.0,169694
144.0,169735
144.0,30203
5.0,30203
144.0,170175
144.0,72820
144.0,171391
1.0,172330
144.0,80836
5.0,161406
1.0,171349
144.0,165996
144.0,166160
5.0,166205
5.0,165252
1.0,166573
144.0,166909
144.0,167020
5.0,167075
144.0,167396
5.0,168166
144.0,168457
144.0,168508
144.0,168614
144.0,168843
144.0,169817
144.0,169039
5.0,169122
144.0,169693
144.0,170504
1.0,171327
104.0,172698
144.0,94457
104.0,93676
144.0,81578
144.0,81820
5.0,84636
144.0,164662
5.0,98836
144.0,161878
144.0,163801
144.0,165579
144.0,133540
5.0,166938
144.0,165197
144.0,165412
144.0,168835
5.0,169158
5.0,167200
5.0,168375
5.0,171033
5.0,171010
144.0,170220
104.0,170673
144.0,96577
104.0,101136
104.0,85699
5.0,94721
104.0,114597
144.0,114976
144.0,108777
144.0,108778
144.0,167470
144.0,168084
144.0,165051
5.0,168120
144.0,167095
144.0,168282
5.0,168633
5.0,169007
5.0,168228
5.0,169210
5.0,169348
144.0,169383
5.0,169119
5.0,170971
144.0,172776
144.0,104496
144.0,169759
104.0,108096
104.0,115777
1.0,118888
144.0,108096
5.0,160761
144.0,162027
5.0,166620
104.0,165054
